clus,pois,latitude,longitude,time,categories
131,Basilica_di_San_Pietro_in_Vincoli,41.89387222,12.49306944,421.703125,basilichediroma;chiesediroma;chiesetitolaridiroma
132,Chiesa_di_Santa_Maria_dell'Anima;Chiesa_di_Santa_Maria_della_Pace_(Roma),41.9,12.47166667,677.6728972,disposizionifonichediorganiacanne;chiesediroma;chieserinascimentali;chiesediroma;chiesediromadelxvsecolo;architetturebarocchediroma;chiesetitolaridiroma;edificidicultodedicatiamaria;chieserinascimentali;architetturerinascimentalidiroma;chiesenazionalidiroma
133,Basilica_di_San_Clemente_al_Laterano;Mitreo_di_San_Clemente,41.88944444,12.4975,615.3333333,mitreidiroma;romar.imonti;chiesediroma;chiesetitolaridiroma;basilicheminoridiroma
134,Pincio,41.91166667,12.47972222,240,pincio
135,Battistini_(metropolitana_di_Roma),41.90646,12.41472,263,lineaa(metropolitanadiroma);romaq.xxviiprimavalle
136,Re_di_Roma_(metropolitana_di_Roma),41.88194,12.51441,240,romaq.viiituscolano;romaq.ixappio-latino;lineaa(metropolitanadiroma)
137,Cavour_(metropolitana_di_Roma),41.895,12.49357,1052.876404,romar.imonti;lineab(metropolitanadiroma)
139,Colosseo_(metropolitana_di_Roma);Colosseo,41.89016944,12.49226944,1033.08067,romar.xixcelio;lineab(metropolitanadiroma);romar.imonti;lineac(metropolitanadiroma);museidiroma;anfiteatridiroma;nuovesettemeravigliedelmondo
140,Tufello,41.94873,12.53188,240,borgatediroma;romaq.xvimontesacro;zoneurbanistichediroma
141,Tiburtina_(metropolitana_di_Roma);Santa_Maria_del_Soccorso_(metropolitana_di_Roma);Pietralata_(metropolitana_di_Roma),41.915595,12.561665,240,romaq.xxipietralata;lineab(metropolitanadiroma);lineab(metropolitanadiroma);romaq.xxiicollatino;romaq.xxipietralata;lineab(metropolitanadiroma);romaq.vnomentano;romaq.xxipietralata
142,Circo_Massimo_(metropolitana_di_Roma),41.88422,12.488537,421.2758621,romar.xxisansaba;lineab(metropolitanadiroma);romar.xiiripa
143,Musei_capitolini;Campidoglio,41.89259722,12.48236944,787.0713073,luoghidellamitologiaromana;romar.xcampitelli;settecollidiroma;museidiroma
144,Chiesa_di_San_Girolamo_dei_Croati;Chiesa_di_San_Rocco_all'Augusteo,41.90503889,12.47569444,302.5197568,chiesetitolaridiroma;chiesediromadelxvisecolo;chiesediroma;chiesediroma;chiesenazionalidiroma
145,Basilica_di_Santa_Prassede,41.89611111,12.49861111,348.9186047,chiesediroma;disposizionifonichediorganiacanne;chiesetitolaridiroma;basilichediroma;architettureantichediroma
146,Stadio_Olimpico_(Roma),41.93388611,12.45478611,1200,impiantisportividiroma;romaq.xvdellavittoria
147,Chiesa_di_San_Giovanni_a_Porta_Latina,41.8773,12.501803,240,chiesediroma;chiesetitolaridiroma
148,Basilica_di_Santa_Pudenziana,41.89861111,12.49555556,240,chiesediroma;basilichediroma;chiesenazionalidiroma;chiesetitolaridiroma
150,Stazione_di_Ipogeo_degli_Ottavi,41.96887,12.40922,240,stazioniferroviariediroma;romaz.lottavia
