id;name;latitude;longitude
420;Verano_(zona_di_Roma);41.90323;12.526
421;Saxa_Rubra_(Rai);41.98002;12.49566
422;Montagnola_(zona_di_Roma);41.84606;12.48574
423;Tempio_Maggiore_di_Roma;41.8921029433;12.4779957533
424;Forte_Pietralata;41.92565;12.55035
425;Musei_Vaticani;41.9063888889;12.4544444444
426;Stadio_Flaminio;41.9269555556;12.4723
427;Crypta_Balbi;41.8944444444;12.4786111111
428;Tor_Tre_Teste;41.89352;12.59848
429;Labaro_(zona_di_Roma);41.99369;12.48561
430;Colli_Aniene;41.91339;12.57063
431;Oratorio_dei_Filippini;41.898228;12.46871
432;Quartaccio;41.92175;12.3989
433;Piazza_Vittorio;41.89516;12.50476
434;Giardinetti;41.8601;12.60397
435;Chiesa_dei_Santi_Domenico_e_Sisto;41.8959361111;12.4880305556
436;Torricola;41.81815;12.5493
437;Cecchignola;41.8161;12.51926
438;Galleria_nazionale_d'arte_moderna_e_contemporanea;41.91;12.482
439;Mezzocammino;41.79518;12.41952
440;La_Pisana;41.8732;12.40356
441;Sacco_Pastore;41.9339;12.5274
442;Bar/Discussioni/Eliminare_collegamenti_esterni_a_Google_Maps;41.8901694444;12.4922694444
443;Basilica_Ulpia;41.8955555556;12.4845722222
444;Torrevecchia_(zona_di_Roma);41.9315;12.41944
445;Stazione_di_Valle_Aurelia;41.90302;12.44238
446;Tempio_di_Venere_Genitrice;41.8941583333;12.4847916667
447;Foro_di_Augusto;41.8944444444;12.4869444444
448;Tempio_di_Marte_Ultore;41.8942833333;12.4868444444
449;Navigatori_(zona_di_Roma);41.85941;12.50115
450;Castel_Sant'Angelo;41.903064;12.466355
451;Valco_San_Paolo;41.85514;12.47098
452;Tre_fontane_(zona_di_Roma);41.83174;12.48815
453;Università_(zona_di_Roma);41.90505;12.51424
454;Grottaperfetta;41.83887;12.51102
455;Quartiere_Coppedè;41.91877;12.50096
456;Stazione_meteorologica_di_Roma_Urbe;41.95;12.5
457;Stazione_meteorologica_di_Roma_Centro;41.9;12.4833333333
458;Stazione_meteorologica_di_Roma_Ciampino;41.8;12.55
459;Marconi_(zona_di_Roma);41.86489;12.4656
460;Pian_due_Torri;41.8498;12.46158
461;Museo_nazionale_del_Palazzo_di_Venezia;41.8961555556;12.4818666667
462;Elagabalium;41.8895277778;12.4888888889
463;Porta_Portuensis;41.880625;12.469976
464;Sacello_di_Venere_Cloacina;41.8926138889;12.4854472222
465;Colosseo;41.8901694444;12.4922694444
466;Via_Sacra;41.8918027778;12.4861444444
467;Tempio_di_Giano;41.8929805556;12.4857222222
468;Tempio_di_Giunone_Sospita;41.8895;12.4851666667
469;Basilica_Porcia;41.8933194444;12.4848194444
470;Basilica_Sempronia;41.8919416667;12.4847277778
471;Quarto_Miglio;41.8429;12.54655
472;Liceo_ginnasio_statale_Terenzio_Mamiani;41.912;12.4636
473;Palazzo_Braschi;41.897458;12.472819
